Movie_Id,Genre_Id
431693,16
431693,28
431693,12
431693,35
431693,10751
707886,35
707886,10402
707886,18
915935,53
915935,9648
915935,80
940721,878
940721,27
940721,28
614409,10749
614409,35
614409,18
629542,10751
629542,16
629542,12
629542,35
629542,80
481848,12
481848,10751
481848,18
484468,53
484468,28
484468,12
575264,28
575264,53
682507,18
682507,9648
682507,10749
416144,53
416144,36
416144,18
416144,28
588228,28
588228,878
588228,12
614934,18
614934,10402
614934,36
675353,28
675353,12
675353,10751
675353,35
436969,28
436969,35
436969,12
660120,18
660120,10749
660120,35
550988,35
550988,12
550988,878
551332,18
551332,36
503919,18
503919,14
503919,53
508883,16
508883,12
508883,14
301528,10751
301528,12
301528,16
301528,35
301528,14
520763,878
520763,53
520763,27
529203,16
529203,10751
529203,12
529203,14
529203,35
840326,28
840326,10752
840326,12
400160,10751
400160,16
400160,14
400160,12
400160,35
1075794,16
1075794,35
1075794,10751
431580,10751
431580,16
431580,12
431580,35
466420,80
466420,36
466420,18
718930,28
718930,35
718930,53
697843,28
697843,53
327331,18
327331,10402
327331,36
327331,35
940551,16
940551,28
940551,12
940551,35
940551,10751
674324,18
674324,35
423108,27
423108,9648
423108,53
617653,36
617653,18
617653,28
645886,18
645886,80
458156,28
458156,53
458156,80
466272,35
466272,18
466272,53
582014,53
582014,80
582014,18
429617,28
429617,12
429617,878
292011,18
1151534,53
1151534,18
516486,10752
516486,28
516486,18
615777,18
615777,35
758866,18
829280,12
829280,9648
829280,80
675445,16
675445,10751
675445,12
675445,35
615643,18
425909,14
425909,35
425909,12
425909,878
866398,28
866398,80
866398,53
843527,10749
843527,35
843527,18
459151,16
459151,35
459151,12
459151,10751
508947,16
508947,10751
508947,35
508947,14
370172,28
370172,12
370172,53
451048,28
451048,12
451048,14
818647,10749
818647,18
818647,35
493529,12
493529,14
493529,35
560057,16
560057,12
560057,10751
560057,14
705996,53
705996,9648
705996,10749
964980,18
508763,18
508763,12
508763,10751
544401,18
544401,80
926393,28
926393,53
926393,80
438148,16
438148,35
438148,10751
438148,12
626735,18
626735,35
576845,9648
576845,53
576845,27
545609,28
545609,53
899112,28
899112,35
899112,80
899112,14
587792,35
587792,10749
587792,878
504608,10402
504608,18
454626,28
454626,878
454626,35
454626,10751
590223,35
590223,28
590223,12
590223,878
899082,99
420809,10751
420809,14
420809,12
420809,28
446893,10751
446893,16
446893,35
446893,14
446893,12
446893,10402
453395,14
453395,28
453395,12
667538,878
667538,12
667538,28
497698,28
497698,12
497698,878
1029575,28
1029575,35
949423,27
949423,18
497582,12
497582,9648
497582,80
539681,16
539681,28
539681,10751
539681,35
539681,878
330457,10751
330457,16
330457,12
330457,35
330457,14
951491,27
